Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"Mastroianni Bros, Inc. 51 Opus Boulevard Schenectady, NY12306",Bakery,Schenectady | WIB Name: CAPITAL DISTRICT | Region: Capital Region,51,51,7/4/2016,to occur between 7/2/2016 and 7/18/2016,7/18/2016,Economic,Plant Closing,Plant Closing,"None of the affected employees are represented by a union, so no bumping rights will exist.",Bill Busacker,(518) 952-1958,2016-0001,5621
,Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,----,103 non-bargaining unit colleagues and 48 bargaining unit colleagues,6/28/2016  Amended 7/5/2016,to occur between 8/20/2016 and 10/28/2016,-----,Company Restructuring,Plant Layoff,Plant Layoff,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director, Manager & Operational Support",(845) 602-3611,,5620
,College,Suffolk | WIB Name: SUFFOLK | Region: Long Island,412,412,6/3/2016 Amended 6/30/2016,6/1/2016 - 1 employee’s layoff date extended to 6/29/2016; 6 employee layoffs will be extended to 6/30/2016.,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola, Executive Director of Human Resources",(631) 244-3020,2015-0362,5619
,Developing and Manufacturing - Clean Energy Systems,Onondaga | WIB Name: ONONDAGA | Region: Central Region,-----,41,4/23/2015  Amended 6/29/2016,to occur between 7/1/2015 and 12/18/2016 - one layoff was postponed to occur on 12/18/2016,-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and do not have bumping rights.,"Jill A. Krauza, Sr. Manager, Human Resources",(412) 349-2691,,5618
,Hotel,Erie | WIB Name: ERIE | Region: Western Region,72,72,6/27/2016,9/30/2016,9/30/2016,Economic,Plant Closing,Plant Closing,Non Union,"Richard A. DiVita, Jr., President & COO",(716) 636-7500 Ext 454,2015-0426,5617
,Transportation,Suffolk | WIB Name: SUFFOLK | Region: Long Island,56,56,6/27/2016,9/26/2016,9/26/2016,Chapter 11,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,Rachel P. Stoian,(516) 826-6500,2015-0425,5616
"Fairway Lake Grove LLC3200 Middle Country Rd.Lake Grove, NY11755",Gourmet Grocery Store,Suffolk | WIB Name: SUFFOLK| Region: Long Island,107,107,6/16/2016 Amended:7/01/2016,7/15/2016,7/15/2016,Economic,Plant Closing,Plant Closing,"UFCW, Local 1500","Charles Farfaglia, Vice President Human Resources",(646) 616-8090,2015-0392,5615
"NRG Energy, Inc. Huntley Generating Station 3500 River Road Tonawanda, NY14150",Power Plant,Erie | WIB Name: ERIE | Region: Western Region,72,72,12/18/2015 Amended 6/28/2016,to occur between 3/31/2016 and 7/28/2016,6/30/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Thomas Thomas, Human Resources Manager",(315) 349-2369,,5613
"Pfizer Inc.  401 North Middletown Road Pearl River, NY10965",Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,-----,103 non-bargaining unit colleagues and 48 bargaining unit colleagues,6/28/2016,on or after 10/1/2016,-----,Company Restructuring,Plant Layoff,Plant Layoff,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director, Manager & Operational Supportz",(845) 602-3611,,5612
"Catholic Charities Neighborhood Services, Inc. (Casa Betsaida Homeless Program) 280 Marcy Avenue, 3rd Floor Brooklyn, NY 11211",Casa Betsaida Homeless Program,New York | WIB Name: NEW YORK CITY | Region: New York City,3,3,6/30/2016,9/30/2016,9/30/2016,Lack of Funding,Plant Closing,Plant Closing,The affected employees are not covered by a collective bargaining agreement.,"Jacqueline Gibbons, Senior Vice President of  Human Resources",(718) 722-6181,2015-0423,5611
"Ortho Clinical Diagnostics 100 Indigo Creek Drive Rochester, NY14626",Instrument Manufacturing Operations,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,1000,86,4/27/2015 Amended 6/30/2016,10/2/2016,10/2/2016,Transitioning operations to Nypro Inc.,Plant Unit Closing,Plant Unit Closing,Bumping rights are not available.,"Inga Hill, Sr. Manager Human Resources",(585) 453-4642,,5610
"Reis Inc. 530 Fifth Avenue New York, NY10036",Information provider to real estate agencies,New York | WIB Name: NEW YORK CITY | Region: New York City,52,52,6/30/2016,9/30/2016,9/30/2016,Relocating offices to Westchester NY,Plant Closing,Plant Closing,There is no union representation for the affected employees. Reis does not have a job bumping system.,"Vickie A. Batsedis, Human Resources Manager",(212) 921-1122Ext 239,2015-0422,5609
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1 – Works remotely,6/24/2016,9/21/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0421,5608
"AIG - American International  Group 80 Pine Street New York, NY 10005",Insurance,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,5,6/29/2016,to occur between 6/1/2016 and 6/22/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist and employees are non-union.,"Richard V.  Joers, Head of Employee Relations",(718) 250-1870,,5607
"Novartis Pharmaceuticals Corporation 25 Old Mill Road Suffern, NY 10901",Pharmaceutical Manufacturing,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,----,1,6/29/2016,9/30/2016,To  occur in 2016 – no definite date  indicated at this time.,Economic,Plant Closing,Plant Closing,No union representation; bumping arrangements are not available for affected  employees.,"Luz Rodgers, Head, Human Resources",(845) 368-6086,,5606
"Tekserve Corporation 119 W. 23rd Street New York, NY 10011",Computer Store,New York | WIB Name: NEW YORK CITY| Region: New York City,79,79,6/29/2016,To occur  between 8/31/2016 and 9/13/2016,9/13/2016,Economic,Plant Closing,Plant Closing,"None of the affected employees are represented  by a union, so no bumping rights will exist.","Loretta White, HR Director",(212) 929-3645 Ext 408,2015-0397,5605
"New York Life Insurance Company  Information Technology Operations 51 Madison Avenue New York, NY10010",Life Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,20,6/22/2016,To occur between 9/16/2016 and 3/17/2017,-----,Relocation of some of the company’s Information Technology Operations,Plant Layoff,Plant Layoff,There is no union representation at this location. Bumping arrangements are not available for affected employees.,Donald P. Vandegrift Jr.,(212) 576-6598,,5604
"New York Life Insurance Company  Finance Operations 51 Madison Avenue New York, NY10010",Life Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,7,6/22/2016,to occur between 9/30/2016 and 6/24/2017,-----,Relocation of some of the company’s Finance Operations,Plant Layoff,Plant Layoff,There is no union representation at this location. Bumping arrangements are not available for affected employees.,Donald P. Vandegrift Jr.,(212) 576-6598,,5603
"New York Life Insurance Company  Finance Operations One Rockwood Road Sleepy Hollow, NY",Life Insurance,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,1,6/22/2016,9/30/2016,-----,Outsourcing of some of the company’s Finance Operations,Plant Layoff,Plant Layoff,There is no union representation at this location. Bumping arrangements are not available for affected employees.,"Donald P. Vandegrift, Jr.",(212) 576-6598,2015-0394,5602
"New York Life Insurance Company  Information Technology Operations One Rockwood Road Sleepy Hollow, NY",Life Insurance,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,6,6/22/2016,9/30/2016,-----,Outsourcing of some of the company’s Information Technology operations,Plant Layoff,Plant Layoff,There is no union representation at this location.Bumping arrangements are not available for affected employees.,"Donald P. Vandegrift, Jr.",(212) 576-6598,2015-0393,5601
"Fairway Lake Grove LLC 3200 Middle Country Rd. Lake Grove, NY11755",Gourmet Grocery Store,Suffolk | WIB Name: SUFFOLK| Region: Long Island,107,107,6/16/2016,7/29/2016,7/29/2016,Economic,Plant Closing,Plant Closing,"UFCW, Local 1500","Charles Farfaglia, Vice President Human Resources",(646) 616-8090,2015-0392,5599
"Sports Authority - Glendale Store #487 7325 Woodhaven Blvd., Suite 1 Glendale, NY11385",Sporting Goods Store,Queens | WIB Name: NEW YORK CITY| Region: New York City Nassau | WIB Name: Hempstead | Region:Long Island,68,68,6/23/2016,8/19/2016,8/31/2016,Economic,Plant Closing,Plant Closing,There are no unions representing the employees at this facility.,"Tonia Hamilton, Manager HRIS",(720) 475-2495,2015-0389,5598
"Sears Holdings Corporation - Unit 11435200 Kings PlazaBrooklyn, NY11234",Retail,Kings | WIB Name: NEW YORK CITY| Region: New York City,210,210,6/15/2016,Separations will occur during the 14-Day period commencing on 9/18/2016,9/18/2016,Economic,Plant Closing,Plant Closing,"There is no labor organization representing affected employees at the facility, and there are no applicable bumping rights.","James Suber, Region HR Director",(847) 286-2500,2015-0388,5597
"Sodexo, Inc. (@Mount Saint Mary College) 330 Powell Avenue, Aquinas Hall Newburgh, NY12550",Food Services,Orange | WIB Name: ORANGE| Region: Mid-Hudson Region,72,72,6/17/2016,7/31/2016,7/31/2016,Loss of contract with Mount Saint Mary College,Plant Closing,Plant Closing,"CSEA Local 1000, AFSCME, AFL-CIO","Scott Schweizer, General Manager",(845) 561-2800,2015-0387,5596
"Goldman, Sachs & Co. 200 West Street New York, NY10282",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,98,6/21/2016,To occur between 7/17/2016 and 10/29/2016 – 3rd round of layoffs.,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights and no unions representing affected employees,"Gena Palumbo, Managing Director & Associate Genera",(212) 357-2191,2015-0384,5595
,College,Suffolk | WIB Name: SUFFOLK| Region: Long Island,412,412,6/3/2016,6/1/2016 - 20 employees have had their layoff dates extended from dates between 6/2/2016 and 6/15/2016.,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola, Executive Director of Human Resources",(631) 244-3020,2015-0362,5594
"Eastman Kodak Company (Eastman Business Park) 1669 Lake Avenue Rochester, NY14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,6/16/2016,9/13/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0386,5593
"Buflovak LLC 750East Ferry Street Buffalo, NY14211",Design and Manufacture of Process Equipment,Erie | WIB Name: ERIE | Region: Western Region,53,53,6/17/2016,To occur between 9/15/2016 and 9/28/2016,9/28/2016,Sale of company,Plant Closing,Plant Closing,"International Association of Machinists and Aerospace Workers AFL-CIO, Affiliate Lodge #330",Duncan Hemink,(716) 895-2100Ext 133,2015-0385,5592
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,2,6/13/2016,9/10/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0380,5591
"Eastman Kodak Company (Kodak  Office) 343 State Street Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,6/14/2016,9/11/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0383,5590
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,6/14/2016,9/11/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0383,5589
"Apex Tool Group, LLC 45 Cleveland Street Cortland, NY 13045",Forgings and Galvanizing,Cortland | WIB Name: CAYUGA/CORT| Region: Central Region,89,89,5/18/2015,To occur in phases between 8/17/2015 and 8/12/2016 (one layoff postponed  to occur between 8/1/2016 and  8/12/2016),12/31/2015,Economic,Plant Closing,Plant Closing,"United  Automobile, Aerospace, and Agricultural Implement Workers of American and its  affiliate U.A.W. Local #1774, U.A.W. Region 9","Lisa Dulski, V.P., Human Resources",(980) 209-8686,,5588
"ABC Carpet Co. Inc. 1055 Bronx River Avenue Bronx, NY10472",Carpet  & home furnishings,Bronx | WIB Name: NEW YORK CITY| Region: New York City,65,65,6/14/2016,to  occur between 6/14/2016 through 6/30/2016,6/30/2016,Economic,Plant Closing,Plant  Closing,Local 810 International Brotherhood of Teamsters,"Patricia  Baroncini, Director of Human Resources",(646) 602-3248,2015-0378,5587
"Ralph Lauren Corporation  wholly owned subsidiaries: Ralph Lauren Retail, Inc. and PRL USA Holdings, Inc. 625 Madison Avenue New York, NY10022","Apparel Design, Manufacturing and Retail",New York | WIB Name: NEW YORK CITY | Region: New York City,-----,129,6/6/2016 Amended 6/15/2016,Layoffs to occur between 6/24/2016 and 10/2/2016,-----,Economic,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union. There are no bumping rights for affected employees.,"Jonathan Shiffman, Esq, Vice President and Associate General Counsel",(212) 705-8281,2015-0365,5586
"Family Residences and Essential Enterprises (FREE) 120 Plant Avenue Hauppauge, NY",Wellness Center,Suffolk | WIB Name: SUFFOLK | Region: Long Island,15,15,3/25/2016 Amended 6/7/2016,to occur on a 14-day period commencing on 8/15/2016,8/15/2016,"Turning over operations to LISH, Inc.",Plant Closing,Plant Closing,-----,"Robert White, VP Human Resources",(516) 870-1684,,5585
"Old Country Buffet FMP Ovation Payroll, LLC. 1701 Sunrise Highway Bay Shore, NY11706",Restaurant,Suffolk | WIB Name: SUFFOLK | Region: Long Island,42,42,6/13/2016,9/12/2016,9/12/2016,Economic,Plant Closing,Plant Closing,The employees are not unionized; therefore no bumping rights exist.,"Tracy Amass, Director of Human Resources",(210) 403-3725,2015-0377,5584
"Dowling College - Oakdale Campus 150 Idle Hour Blvd Oakdale, NY 11769",College,Suffolk | WIB Name: SUFFOLK| Region: Long Island,438,438,6/3/2016,6/1/2016- There are 15 employees remaining on site left to wind down operations.Layoff date is undetermined at this time.,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola,  Executive Director of Human Resources",(631) 244-3020,2015-0362,5583
"Jewish Home Lifecare Harry and Jeanette Weinberg Campus Bronx, NY10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY | Region: New York City,944,944,2/22/2016 &nbsp;Amended 6/9/2016,to commence during the 14-day period starting on 7/15/2016,7/15/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5582
"Ultimate Aircraft, Inc. 147-39 175th Street, Suite 102 Jamaica, NY11434",Aircraft maintenance,Queens | WIB Name: NEW YORK CITY | Region: New York City,-----,145,6/10/2016,8/1/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist.,"Mike Diaz, General Manager / Jo Ann Lorenz",(718) 656-6020Ext 203 / (718) 656-6020 Ext 204,2015-0376,5581
"Eastman Kodak Company (Eastman Business Park) 1999 Lake Avenue Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,6/7/2016,9/4/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0375,5580
"Ralph Lauren Corporation  wholly owned subsidiaries: Ralph Lauren Retail, Inc. and PRL USA Holdings, Inc. 625 Madison Avenue New York, NY 10022","Apparel Design, Manufacturing and Retail",New York | WIB Name: NEW YORK CITY| Region: New York City,-----,316,6/6/2016,Layoffs  to occur between 6/24/2016 and 10/2/2016,-----,Economic,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.There are no bumping rights for affected employees.,"Jonathan  Shiffman, Esq, Vice President and  Associate General Counsel",(212) 705-8281,2015-0365,5579
"Eckler's Industries @ MAC's 6150 Donner Road Lockport, NY 14094",Automotive Parts,Niagara | WIB Name: NIAGARA| Region: Western Region,52,52,6/6/2016,9/1/2016,9/1/2016,Economic,Plant Closing,Plant  Closing,Location is  not covered under a collective bargaining agreement and therefore will not have  bumping rights.,"Matt Cummings, Vice President Human Resources",(407) 961-0098,2015-0361,5578
"United Cerebral Palsy of Suffolk 159 Carleton Avenue Central Islip, NY11722",Health Center,Suffolk | WIB Name: SUFFOLK | Region: Long Island,24,24,3/30/2016 Amended 6/1/2016,8/15/2016,8/15/2016,Turning over operations to LISH,Plant Closing,Plant Closing,UCEA,"Jayne Mancusi, Director, Human Resources",(631) 232-0011Ext 406,,5577
"Eckler's Industries @ MAC's 6150 Donner Road Lockport, NY14094",Automotive Parts,Niagara | WIB Name: NIAGARA | Region: Western Region,70,70,6/6/2016,9/1/2016,9/1/2016,Economic,Plant Closing,Plant Closing,Location is not covered under a collective bargaining agreement and therefore will not have bumping rights.,"Matt Cummings, Vice President Human Resources",(407) 961-0098,2015-0361,5576
"Montauk Student Transport, LLC 399 Exterior Street Bronx, NY",Transportation,Bronx | WIB Name: NEW YORK CITY | Region: New York City Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,268 for both locations,6/1/2016,9/1/2016,-----,Loss of contract,Plant Layoff,Plant Layoff,"Workers Union, AFL-CIO","John Mensch, Owner",(631) 345-9600,2015-0359,5575
"Dowling College - Oakdale Campus 150 Idle Hour Blvd Oakdale, NY11769",College,Suffolk | WIB Name: SUFFOLK | Region: Long Island,453,453,6/3/2016,6/1/2016,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT;Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola, Executive Director of Human Resources",(631) 244-3020,2015-0362,5574
"Eastman Kodak Company (Kodak  Office) 343 State Street Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,6/1/2016,8/29/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0358,5573
"Jewish Home Lifecare Harry and Jeanette Weinberg Campus Bronx, NY10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY | Region: New York City,964,964,2/22/2016Amended 6/3/2016,to commence during the 14-day period starting on 7/15/2016,7/15/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5572
"Experience Works, Inc. (SCSEP Program) 277 Tompkins Street, Ste. 2 Cortland, NY13045",Senior Community Service Employment Program (SCSEP),Cortland | WIB Name: CAYUGA/CORT | Region: Central Region,7,7,5/26/2016,to occur between 7/1/2016 and 9/30/2016,9/30/2016,Lack of funding,Plant Closing,Plant Closing,Non-union,"Cristal Kurtz, Director of Human Resources",(703) 682-2517,2015-0357,5571
,Telecommunications provider,New York | WIB Name: NEW YORK CITY | Region: New York City,192,36,6/2/2016,Terminations are expected to occur between 6/2/2016 and 6/17/2016.,-----,"Merger with Time Warner Cable, Inc.",Plant Layoff,Plant Layoff,None of the affected workers are represented by a union.,"Kathy Bryson, Senior Manager, Employee Services Center",(704) 206-2573,2015-0356,5570
"Xerox Corporation - (Supply and Distribution Center) 800 Phillips Road Webster, NY14580",Supply and Distribution Center,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,48,48,6/1/2016,8/29/2016,8/29/2016,Economic,Plant Closing,Plant Closing,Workers UnitedLocal 14A,"Caryn Feinstein, Human Resources Manager",(847) 928-5839,2015-0355,5568
"WPH Midtown Associates, L.P. @ the Holiday Inn Hotel 620 Delaware Avenue Buffalo, NY 14206",Hotel,Erie | WIB Name: ERIE| Region: Western Region,82,82,5/31/2016,to occur between 9/3/2016and 9/7/2016,9/7/2016,Non renewal of lease,Plant Closing,,"Bumping rights do not exist for the employees, as all employees are non-union.",Mark Frantz,(716) 893-6551,2015-0354,5567
"First Student 180 Railroad Avenue Center Moriches, NY11934",Transportation,Suffolk | WIB Name: SUFFOLK | Region: Long Island,400,400,4/24/2016,6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,Teamsters Local 1205,"Melissa Dunn, Regional Human Resources Manager",(518) 860-0701,2015-0353,5566
"Developmental Disabilities, Inc.,Institute  OPTI-HEALTHCARE 75 Landing Meadow Road Smithtown, NY11787",Clinic,Suffolk | WIB Name: SUFFOLK | Region: Long Island,20,20,1/4/2016 Amended 5/31/2016,Projected to occur during the 14-day period commencing on or about 8/15/2016,8/15/2016 or within the 14-day period following this date,Operation of facilities transitioned to LISH,Plant Closing,Plant Closing,Employees are not represented by a union.,"Michael A. Wolinsky, Director, Human Resources",(631) 366-2907,,5565
"Robinson Solutions, Inc. (@ General Motors Tonawanda Engine Plant) 2995 River Road Tonawanda, NY14207",Custodial Services,Erie | WIB Name: ERIE | Region: Western Region,47,47,5/27/2016,6/30/2016,6/30/2016,Cancellation of contract,Plant Closing,Plant Closing,Local 774 UAW,"Ted Manerowski, Director - Human Resources",(416) 479-7440,2015-0352,5564
"Eastman Kodak Company (Eastman Business Park) 1669 Lake Avenue Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,21,5/19/2016,8/16/2016,----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0351,5563
"Eastman Kodak Company (Eastman Business Park) 1669 Lake Avenue Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,5/18/2016,8/15/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0349,5562
"Eastman Kodak Company (Kodak  Office) 343 State Street Rochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,3,5/11/2016,8/8/2016,-----,Economic,Plant Layoff,Plant Layoff,Non-union,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2015-0347,5561
"Catholic Charities Neighborhood Services, Inc. - Outreach & Integration Program 191 Joralemon Street Brooklyn, NY11201",Social Services Organization - Outreach & Integration Program,Kings | WIB Name: NEW YORK CITY| Region: New York City,13,13,5/27/2016,8/26/2016,8/26/2016,Economic,Plant Closing,Plant Closing,The affected employees are not represented by a union.,"Desiree Arduini, Vice-President",(718) 398-0153,2015-0346,5560
"Kerry Inc. on behalf of its affiliate Island Oasis Manufacturing LLC 1155 Niagara Street Buffalo, New York 14213",Drink  mix manufacturer,Erie| WIB Name: ERIE| Region: Western,51,51,5/20/2016,8/19/2016,8/19/2016,Economic,Plant Closing,Plant Closing,BCTGM Local 36G,"Katie Reese, Business Unit Manager, Human Resources",(608) 201-0588,2015-0345,5559
"Pfizer Inc.  401 North Middletown Road Pearl River, NY10965",Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,----,40 non-bargaining unit colleagues and 160 bargaining unit colleagues,4/7/2016,on or after 7/9/2016,-----,Company Restructuring,Plant Layoff,Plant Layoff,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director, Manager & Operational Support Phone:(845) 602-3611",,,5558
"AIG - American International Group 175 Water Street New York, NY10038",Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,6,5/24/2016,to occur between 4/4/2016 and 7/29/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist and employees are non-union.,"Richard V. Joers, Head of Employee Relations",(718) 250-1870,,5555
"Panalpina, Inc. JFK International Airport 152-81Rockaway Blvd Jamaica, NY11434",Air transportation,Queens | WIB Name: NEW YORK CITY | Region: New York City,38,38,5/17/2016,8/14/2016,8/14/2016,Economic,Plant Closing,Plant Closing,IBT Local Union No 295,"Barbara G. Schultz, District Head of Human Resources, USA North",(862) 242-2201,2015-0338,5554
"The Limited 400 Lafayette Street, 3rd  Floor New York, NY 10003",Apparel Design,New York | WIB Name: NEW YORK CITY| Region: New York City,39,39,5/16/2016,8/15/2016,8/15/2016,Economic,Plant Closing,Plant  Closing,"The employees are not represented by a  union, and no bumping rights exist with respect to this action.","Gregory S.  Baker, Vice President & General Counsel",(619) 289-2197,2015-0334,5553
"SFX Entertainment, Inc. 902 Broadway, 15th Floor New York, NY 10010",Entertainment,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,36,4/12/2016,on or around 7/7/2016,-----,Chapter 11 Bankruptcy,Plant Layoff,Plant Layoff,Employees are  not represented by a union and no bumping rights exist with respect to this  action.,"Jason Barr, Senior Deputy General Counsel, Senior Vice  President & Corporate Secretary",(646)  561-6407,,5552
"SFX Entertainment, Inc. 902 Broadway, 15th Floor New York, NY 10010",Entertainment - produces electronic music concerts,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,6,5/13/2016,on or around 8/9/2016,-----,Chapter 11 Bankruptcy,Plant Layoff,Plant  Layoff,Employees are not represented by a union and no bumping rights exist with respect to this  action.,"Jason Barr, Senior Deputy General Counsel,  Senior Vice President & Corporate Secretary",(646) 561-6407,,5551
"Sears Holdings Rotterdam Square Mall 93 W. Campbell Road Schenectady, NY12306",Retail and Automotive Stores,Schenectady | WIB Name: CAPITAL DISTRICT | Region: Capital Region,67,67,5/2/2016,on or about 8/7/2016,8/7/2016,Economic,Plant Closing,Plant Closing,No labor organization represents the affected employees and there are no applicable  bumping rights.,"James Suber, Region HR Director",(847) 286-2500,2015-0336,5550
"Barnes & Noble  Booksellers, Inc. 160 East 54th Street New York, NY 10022",Book Store,New York | WIB Name: NEW YORK CITY | Region: New York City,50,50,5/13/2016,8/14/2016,6/30/2016,Non-renewal of lease with Citigroup store,Plant Closing,Plant Closing,Affected  employees are not represented by a union.,"Kevin Vilke, Sr. Director, Field HR",(212) 352-3695,2015-0335,5549
"MakerBot Industries, LLC147 41st StreetBrooklyn, NY 11232",Manufacture 3D Printers Number,Kings | WIB Name: NEW YORK CITY | Region: New York City,120,,5/9/2016,7/24/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Kavita Vora, Chief People Officer",(347) 676-3928,2015-0333,5548
"Roof Diagnostics Solar and  Electric of NY, LLC 245 Summit Point Drive, Suite  7 Henrietta, NY 14467",Specialty Trade Contractors,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,38,38,5/5/2016,to  occur between 8/8/2016 and 8/22/2016,8/22/2016,Economic,Plant Closing,Plant Closing,Employees are not represented by a union or other representatives nor do they have bumping  rights.,"Len Kluft,  Vice President of Human Resources",(713) 537-2187,2015-0332,5545
"Midtown Express, LLC 211 Arlington Avenue Staten Island, NY 10303",Telecommunications company,Richmond | WIB Name: NEW YORK CITY| Region: New York City,45,45,4/12/2016,7/11/2016,7/11/2016,Economic,Plant Closing,Plant Closing,"International  Brotherhood of Electrical Workers, Local 3",Michael Sicsko,(718) 628-3420 Ext 408,,5544
